Lang	Latitude	Longitude	NINE	ONE	SEVEN	SIX	TEN	THREE	TWO	EIGHT	FIVE	FOUR
136742	3,45945945945963	33,063063063064		ʈ əː    ɔ̱ ɛ̃ s ɖː    ɬ o ŏ̱ sː    	a̹ ʂ    a̠ ʝ tsː    	w ṳ a̠ d̪ qʰ    	t ɐ ɔ    	tɕ tɕ u    	s ð ṳ aˤ    ɗ ɨ̃ gʰ ɨ̃    	w o̱ ð    	f ɨi ʋ    	j o̞ t ʋ    
29054	-1,94594594594578	33,063063063064	s a̤ w    iː d̪ s    	ʈ əː    ɔ̱ ɛ̃ s ɖː    ɬ o ŏ̱ sː    	a̹ ʂ    ɧ ɯi    a̠ ʝ tsː    	w ṳ a̠ d̪ qʰ    	t ɐ ɔ    ɑ s ɳ ẽ ɕ ɗ    	tɕ tɕ u    	s ð ṳ aˤ    ɗ ɨ̃ gʰ ɨ̃    r z̩ i i    	w o̱ ð    w ɔ pʲ    	f ɨi ʋ    	o̱ t dʲ ɳ    j o̞ t ʋ    
88810	-14,5585585585584	21,3513513513523	eː ħ ɵ    	w̃ eː    ə s̪ á dz    	tʷ ø r    	ɜ uː n t n̩    	eː t ɵ    ŋ n̩ o̱ ɤ̱ u pʲ    	t r aˑ    	t v oː    	oi tː i    	ɛ f n̩    ɬː ø oː n m    	o̞ f ʈ i    
85792	-8,25225225225208	36,2162162162171	i lː nʲ    ʝ aː ɬ    	β ɐ    	ɑ b cː    	ə̥ ɴ s fʲ    wʲ ɔ ɲ æː b    	mʲ á ɐː m f tɕ    á mʲ m ɐː f tɕ    a dʰ f f ẽ mʲ    h̥ a u sː m ʂ    	lː cː ãː sʲ    	u b̥ s aː    	nʲ ãː cʰ    	i b ɕʲ    	sː ⁿg a cː    
82995	-24,0180180180178	28,108108108109	ŏ s w    	ɔ̃ː e ʄ d̪    	əː f ts    	w n ɯː e m    sʰ ʏ n uˑ m    	m s ɯ ɑ ʜ d̪    	k tʲ ɯː d̪    	s u r uː    	ɯ w d̪    ou sʰ d̪    	sʰ ʏ n uˑ m    	tʲ ʜ ɯ k    xʲ bʱ ɑ cː    ʃː β ɑ cː    
138777	-30,3243243243241	29,9099099099108	ɐː ʈʂ mʲ    	ɐ ʈʂ ɑˑ vʲ    	ʑ ɐː bː    	mʲ ɐ dʱ ɑˑ nˀ    ɛɪ θ f øː m    	ð ʈʂ i ɑ̃ ʑ ɹ    tsʰ m u u tsʰ j    	bː ɐ bː ɹ    	i ʈʂ sˠ ui    u tsʰ tsʲ ə̤    	ui mʲ ɹ    	ɭ ĩ nˀ    á d̪ ɴ    	bː f ɔˑ bː    ʑ β ɛː β    
81528	-1,04504504504488	23,6036036036045	eː h ĩ    	o l̪ o̞ː tsˀ    	ɧ ɔ̃ː    	ɕʲ dʒ eu o lʲ    	ɣ r ʉ t̪ ɒː pʲ    ʊː dz ħ ɔ̃ː tɕʰ j    	t r aˑ    	v t oː    	l ẽː a    	j aɪ r    	o̞ ʐ f a    bʱ yː l̥ a    
136757	1,20720720720738	28,108108108109	eː h ĩ    	l̪ o o̞ː tsˀ    	ɧ ɔ̃ː    	ʁʷ ˀn eu o bʰ    	eː t ĩ    ʊː ħ χ f ɔ̃ː j    	t r aˑ    cː k o r    	t v oː    	tː ẽː a    	i j r    	o̞ ʐ f a    bʱ yː f a    
95300	0,756756756756926	42,072072072073	ĩ m w    	oː ɵ v̥ tʰ    aʊ ɔː ⁿd t̪ː    	x ĩ ɕʲ    	w ʃː o̱ e m    	ɛ x ɛ̤ m x ɗ    	o θ ɕʲ ɗ    	m ɗ ɔ̃ː ɔ̃ː    	a ɕʲ z̩    ĩ p tʰ    	e ɤ̱ m    	z̩ bʱ ɔˑ ɾ    
62750	3,00900900900918	24,054054054055	bʱ uˀ aˑ    	ɔː bʲ    o ħ ə̃ t    	t͈ ʊ    ɨ̃ ŋ̩ kʼ    	m ˀd ʌː ʒ    	d̥ r̃ a ʁ ia kʷ    ɬ o h    	r̝ n̩ uɔ    	r̩ r̝ æː    	ˀm aˑ õ    	uˀ n̩ n̩    ie ŋ ʡ    ʒ o m    	r̃ a ʁ h    
136755	-16,8108108108106	32,6126126126135	ʀ ɛː ɕʰ    	u oˀ ʀ z    u ɳː ɯ̃ dʒ    tʲ iɪ ɒ l    	e˞ r sʰ    	d̪ʰ o e kʼ p    	l ɔˑ ðˀ m u mˠ    	ʃː r ɑː r    	z ʀ u u    ʰt dʒ ɑˑ ɑˑ    	ɕʰ ɛː z    	ɛː z m    	r ɛː t̪ sʰ    ŋː ʌ̃ t̪ cː    
82992	-6,45045045045028	30,3603603603613	iː d̪ f    ä s ʎ    	s a̠ e ȶ    ʊ̃ s ũ n    	ə b cː    	t̪ː n ĩ ɪ ŋ    	r s f ʌː au sː    	cː ɑ zʲ ɹ    kʰʲ kʰʲ ɜ ɣ    	s ã ɾˠ ã    	ʉ w d̪    hʷ ă ʝ    ɭ i̱ n̩    	m ə ə̃ t    	aːi χ ʈː a    
126763	4,36036036036053	12,3423423423432	i ʃʰ w    lʲ ã βʲ    ui ʑ ɔ    l eː ɵ    	ui r o ɭ    ɭ ʉ ɐ r    	i ɥ k    	rː o r ʌ v    	n a̱ q ɢ æ d̪    ʐ iː ẽː    	ʃʰ d̪ ãː ɭ    ʑ ʑ ɜ b    t̪ cʰ o ð    k k o ð    	pʰ e̱ ʃʰ e̱    	w õ ɭ    œː ˀl nː    	tɕ œ ȵ    	ɓ ʃʰ a̹ d̪    
87251	-9,60360360360343	22,2522522522532	i r kʰ    	r ʌ aːu ɧ    	f i r    ɑː dʒː ʂ    	u d k a̤ː ʎ    	r ɛ˞ cçʲ œ f ɧ    t e ɔ    	ɛu r r ɧ    	r œ ɡ œ    ʄ β ɛi ɛi    ɕʲ ˀd ʊ ʊ    j ɑˑ s ɑˑ    b̥ ʌː s u    	kʰ ɛ˞ ɧ    	i ɡ g    	ʑ β ɔ cː    f ɛ̤ s ɢ    
100489	-4,19819819819803	15,9459459459469	iː bʱ aˑ    	eː bʲ    ɛ tː    	i f ṽ    	oi pʰ s rʲ    	iː ʐ aˑ    	r ʐ uɔ    s ə j tʰ    	xː ʐ ɯ̃    	aˑ ɣʷ e    ɔˑ w ɡ    	i̱ pʰ ʁʷ    õ ʜ ɾˠ    	f ɸ eː xː    
85783	-14,5585585585584	16,3963963963973	i kʷ ⁿtʰ    	ʌ yː ɲ d̪    kʰ o̤ o̤ r    ɲ o e ʈʰ    dʰː e i̘ d̪    ʉ ɑ w ɾ    	ɐi f n    	nʲ eu dz ui ɲ    o sː ɕ e bʰ    	ɲ ə m f u d̪    	n ɡ ɑː d̪    	ɲ r u u    p rʷ ɔ̃ː ɔ̃ː    	ə w d̪    w a pʲ    	oːu q dʑ    	f v ɛ ʃʰ    
124821	3,90990990991008	40,2702702702712	s u t    n̩ eː ɵ    e s c    	e̱ s eː r    ãː n̪ uː tɕ    	iu ɧ    	gː e̱ ɐ tɕ ˀɣ    k t o ãː m    	s tː e̱ h̥ ə̃ r    	d̪ ɛ̤ tɬʼ kʰʲ    	ə̃ r s ə̃    v l̥ oː    ð s ʊ u    e̞ s qʷ e̞    	gː iˀ r    	r ɘ ˀɣ    d u m    	tɕʰ e̱ j ɴ    s ĩ ɓ l̥ː    
18678	-15,0090090090088	25,8558558558568	s ɐ̃ ʒʲ    j i w    	o d a kː    dː ə o r    ʊ dzʱ ă b    	ŋː ɐ̃ cː    ĩ r ʐ    qʼ ɑ˞ cː    	ˀŋ aɔ ɔ ʈ m    	s ĩ gʷ ŋː ɑi ȶ    	t̪ cː ɑi ȶ    k aɔ k r    	ɑi s ȶ ɑi    a s w a    	ʒʲ ə ȶ    	dzʲ ɘ gʷ    i r tʲ    r au ɣʷ    	ɤ f s͈ cː    lˀ l a ⁿd    
24566	-28,5225225225223	28,5585585585595	o ɓ ⁿs    	ɮ a̤ː ɯ nː    	p ũ ʰk    ṳ dʱ r̝    ṳ dʱ r̝    f i ʥ    	ɯ p͈ a̤ː n m    əː dʰ t̪ e̠ dʑ    	dʱ õ ɬ ai p r    gʰ ʉ m ɖʐ ɛ lˠ    	tʲ ɕ ɯː r    	dʱ q ai iɔ    ɯ̱ u ʰp u    	õ ɳ r    ũ dː g̊    	tsʼ i m    	ɟ q ũ r̝    
84256	-0,144144144143975	32,1621621621631	iɛ qˀ tsʼ    	o l œː pʲ    y s æː ɳ    	ʒ iɛ ɣ    	ɨ kː o̞ː n̊ m    	qˀ ă m ʒ ɨ b    	qˀ ĩː ɣ b    	b qˀ u u    dʲ ʈ e̱ a̹    	b a dʷ    	i r nʷ    	ɹ ă f ɣ    ĩ s ɓ l̥ː    
100486	4,36036036036053	19,5495495495505	iː d̪ s    	o l œː pʲ    	ʊː dʲ k    ã̤ː g    	ʈʂ n eː ɯi p    	n̪ sˤ s ɛ ĩ̟ d̪    	ⁿd o nʱ rʷ    	n̪ b̥ ĩ̟ ĩ̟    r ɣ i i    bv ʈʂ oː    	k ɛ d̪    a hʷ r    vʲ ɛ̠ ɡ    a hʷ r    	rʷ e̞ sˤ    rʷ e̞ sˤ    	s v ɛ ʃʰ    dʲ pː ʊː k    s j a ɹ    w ĩ̟ s cː    s ⁿdʑ ui ɳ    s ⁿdʑ ui ɳ    ɾ o̞ kp nˀ    
113333	-12,7567567567566	29,4594594594604	dʲː a̤ː z    	β o ɑ˞ r    	a̤ː ʁʷ cː    	o z χ ã l    	ɛ dʲː l ɔ ʁʷ z    s ɤː l ɑ n̥ pʲ    	õ ʑ cː r    	dʲː z ɔ u    	z ɛ z    	ɛ ʁʷ dʲː cː    nˀ a ȶ cː    	ʜ ẽ j ɦ    ʑ ɔ ʒ cː    nˀ a ȶ cː    
136748	-7,80180180180163	36,6666666666676	ɸ ɛˀ ˀl    s ɑː pʰ    	u ʀ ə̤ n    	ə̆ f ʁʷ    	ɐː l̪ˠ ɾ    gʷ ɑ ⁿd ə m    	ʀ ɯ m f aː n    	t̪ ʁʷ eː n    	n ʀ u u    	ˀl ɯ n    	ɐː l̪ˠ ɾ    	t̪ f ɯ ʁʷ    f ʔ y lʲ    
136739	-24,4684684684683	31,7117117117126	f u ʰk    	f o a d̪    ai o s r    ẽ ˀt a d̪    n̪ː ai ɔ: ȶ    	f u f    	mˀ í n a̤ː m    	f m ɔˑ ia f d̪    ɪ ⁿq ɾʲ f aɔ l    	f o̞ h d̪    	f ia j ia    β ɔi nʷ ɔi    	ɔˑ ʰk d̪    	á d̪ ɴ    	f rʷ u rʷ    
136747	-11,8558558558557	32,6126126126135	oe l t    	o v oi v    u̘ ɯ s mː    n̩ u ɪʊ d    	i ŋ̩ k    	k l ɛ ˀb    ɔ ɯ w̃ n dz    	ʊː dː m ʂ ä r    ˀm ɛ̱ ŋ̩ ts ɑˑ kʼ    n̪ ɛ sˤ nˀ u d̪    	ȵ ȵ ɛ̠ ɣ    	n̩ ʁ iː iː    b ʐ u u    χ r a a    eˑ r k eˑ    	ɔ̃ː ʎ ɛː    	i ɭ j    i ɭ j    	f r yː ɛː    z ɛu k k    
122815	-33,4774774774773	25,8558558558568	ȵ ɪ̃ ʁʷ    	əu s ɔ w    	f ɪ̃ ts    	fː n əu ɔ̃ bʰ    ɪ ʃ ɒ n n    	ȵ ɔˑ f cçʲ a b    	ts ts e r    	aˑ t ȵ uː    ɗ ŋ̩ ẽ ẽ    	ɔˑ ʁʷ r    	r ɪ̃ nː    	ts f ɔˑ ts    
136746	2,10810810810828	13,6936936936946	iː ɽ a̹    	uo nˀ    	eu ɧ    	oi w s rʲ    	ɨ l m w ə̃ r    	ʐ r uɔ    	ʐ v ɯ̃    	ˀm aˑ a    ai t r    a ɕʲ qχ    	ɛ̃ r w    pʰ a r    	w ɑ p kʲ    r ɨ bː ɤ    
1420	3,00900900900918	16,3963963963973	əɯ n ɔ    	o au ɾˠ q    	f ɛ b    	iː l w ɐ kʰ    ʈʂ n eː ɯi p    	ɾˠ ⁿd ɐ dʒʰ œ q    	tsʲ tɕ uɔ    t̪ cː ɛi ȵ    	dʒʰ œ ɾˠ ĩ    v t ɛ    	a k͈ q    e w pː    t e˞ dʷ    t ĕ pː    	æː dʒʰ ⁿd    r ɛ ⁿd    e˞ jː jˀ    ɑː ʒʲ dʲ    	f ai ŋ b    ɾˠ ʊː ŋ̩ ʂ    f a̱ rʷ rʷ    ā tsʰ ʈ ç    ç ai f b    s ⁿdʑ ui c    
84253	-5,09909909909893	28,5585585585595	i l̪ˠ w    	œ y s ɗ    s ɒː ə tʰ    e ɑˑ ɲ kʰ    	ⁿɢ ʉː    f ĕ ð    	dː n ũ ɨ v̩    	aː s ʑ m ɒ ʁ    	ʈː t uɔ    s cː u pʲ    ɨˑ l̥ ʀ ʔ    cː aːu t̪ r    	s aːu ɗ aːu    p i̤ ɕ i̤    	w aː ʁ    w ə j    w ai r    	ɗ e˞ m    r i l̥    	v ʊː k dz    r f yː a    j d a ʒ    
80239	-14,5585585585584	19,0990990991		āː q e mˠ    n̩ ɪʊ u d    		a β ə rː j    e ⁿd ɛ n ɟ    	s e gʷ ɑi ŋː ȶ    a ʑ ä m sˠ dː    	k aɔ k r    	ɣ r e̠ e̠    	p͈ ə ȶ    	iː ɕʲ sʰ    r au ɣʷ    	t̪ ŋː e ʑ    ɣ ts ĭ cçʰ    
82933	-1,49549549549533	11,8918918918928	iː n oː    eu ʈː ɗ    	eː bʲ    iː ɕʰ ə z̩    ɢ ʊɪ i̘ d̪    	ʉː ɧ    tɕʰ i̘ fː    	oi pʰ tç rʲ    tsː ɔ e˞ lʲ m̩    ɕʲ ˀn eu o ɭ    ʎ í ɕ a n    χ n œː á rː    	z iː oː    cː ɨ̠ æː    ɽ s ɑː f ə̥ r    	oi ⁿɢ kʰ ɗ    gʷ ʐ uɔ    	z v ʏ    	oː ɯ̱ yː    	d̪ʰ ɑ̃ m    	ɳ ɛ ʒ s    β tɕ e ʃʼ    f c ʉ ʃ    h cç ʊ cː    
136737	3,00900900900918	21,8018018018027	ə s v̩    iː d̪ f    	y s ɔu ɳ    o ə s dː    	h ə cː    dː i β    ɯ̃ ɧ    	ɹ aː e n m    cʰ e sʰ o ˀb    	s a ʈ h ɑ ɳ    	cː ˀm y ɳ    ɖʐ ʐ uɔ    	s ɳ e̱ e̱    e̱ mː lʱ a    dʲ ʈ e̱ a̹    xʲ ɦ ɨ e̱    	v̩ a ɳ    	ɳ ə ʈ    	ˀm a h cː    ȵ ɔˑ bʱ ʈʰ    t̪ i tʼ ɗ    
102326	-19,5135135135133	23,1531531531541	ŏ s w    	ɔu e ʄ ʰt    	p ŏ k    	kʼ ə̆ ɖʰ e m    	s i̤ m æ̃ p ʰt    	k tʲ ɑ ʰt    	æ̃ s r uː    	i̤ w ʰt    	sʰ ʏ sˤ aːu m    	k ɔˑ f k    ʃː ɔ q cː    
82987	-27,171171171171	25,4054054054063	ø m w    	m ɔ ə̆ b    sʰ iə ă r    	e ŋ̩ ð    	kʼ ə̆ e ɖʰ m    d̥ t̪ʰ ɔ̃ ɔ̱ ⁿtʰ    	m ð ɑ h u b    	k aːi k b    	m b u u    p ɭ ou ou    ŋ̩ ɗ ẽ ẽ    	w ɑ b    x o r    	b ɑ ð    	ɟ q ə k    
91920	3,45945945945963	29,4594594594604	eː h aː    s ɐu m    	s ɒː ʌ tʰ    tː ɛ    ãː ɣ æ̃ ⁿd    ɕ o ɯa ʃʰ    	ɔ̃ː ɣ    oːu x bʱ    	g iˀ n õ m    	x ɛ̃ m ɲ u pʲ    	r t aˑ    r nʲ aː    tsʼ r uɔ    t̪ cʰ o r    	v t ä    	sʲ u r    a bʲ qχ    e̞ w r    	i ʝ m    	t j o̞ k    
111405	-31,225225225225	27,2072072072081	ø dzʱ w    ɐː ʈʂ mʲ    	dzʱ ʊ o̱ b    o œː s pʲ    ʉ l̥ ɑˑ vʲ    	k e ð    	ts ʊ e ɖʰ m    o ts ɕ e bʰ    	dzʱ f ð ɔˑ u b    ɛ cʷ ɖ f u r    	k k ɒ b    s ɮʲ e ɭ    	b dzʱ u u    u b ɲ̥ u    	ɔˑ w b    e mʲ ɹ    	aː b ʜ    	k f ɔˑ k    v f ɛ ʃʰ    
65903	-15,0090090090088	20,4504504504514	j oː dʒʱ    ŏ s x    	yː y j pʰ    bʱ ɯ̃ ɪ b    ɛ̃ lʲ ɔ̃ː t͈    ø̠ u̘ d̪ʰ h    ɔu ʌ̃ d m̩    n̩ u ɪʊ d    	œː ⁿdz tɕ    əu d̥ cː    ɖʰ oːu ʋ    ə̃ f ʃʰ    	dʒʱ y yː bʲ ⁿdz    ʒ ɨ ⁿdz əː ɮ    ao dʒʱ ɐ̃ː r m    ɔ ɯ w̃ n dz    ɪ nʲ ui dz ɲ    ˀn ɐ ɛ̃ t m    	j ⁿdz æ ⁿdz u pʰ    a̱ n̪ f k ɛ̱˞ r    	l tɕ yː pʰ    w w ai b    ʔ ɓ ə d̪    l̪ˠ ai tɕʰ ȶ    kʰʲ əu kʰʲ b    	u j pʰ u    qχ r u u    	dʒʱ æ pʰ    w ɔˑ ɧ    	pʰ ai ⁿdz    r i ɖ    i ðʲ dʲ    	ⁿdz æ l tɕ    ʑ s ɨ cː    z ɛu k k    ɦ u̥ t̪ ⁿq    
124813	-16,3603603603602	29,0090090090099	r ĩ nʲ    	ɪ r uˀ r    ə ⁿs o d̪    	ĩ ŋ̥ ɕ    ĩ f hː    ə f ⁿs    	nʲ o ɓ ə ŋː    əː r m ɑ̠ m    ð pʰ õ e̠ tɕ    	r ɔi m ŋ̥ ɛi r    ⁿs ə̆ ɬː tɕʰ ã d̪    d̪ ā m f uˀ ɸ    	t̪ ũ cː ȶ    sʲ ũ bʱ ʒʲ    t̪ ɛ˞ d̥ tʰ    ɖ ɐ ⁿs tɕʰ    	r ɪ r ɪ    ⁿdz fː u u    	ʃ ʌ ɭ    ø dz d̪    ā ɭ n̩    	i ʐ q    	ŋ̥ r ɔi ɕ    f kp ɔˑ hː    ao mʲ dz ɮʲ    dʲː əu ʒ ⁿt    
128849	-32,1261261261259	26,3063063063072	s ɔ̃ː dː    	e ɪ ȵ tç    	f oːu ts    	fː o ɔ̃ n bʰ    	s ĩ ɟ bʰ ɔ̃ː w    	o q ts bʰ    	q ɟ ɨ ʐ    s ⁿt u u    	ɨ dː bʰ    ĩ fː ɦ    	ɔ̃ː ⁿt m    	q ɟ ɨ ʐ    
111414	-1,94594594594578	38,4684684684694	ɔʊ lʲ i    	d̪ ã    s iː ɔ d̪    ⁿɢ ŭ u d̪    ɐ g̊    	ə sʲ    	ɛ ʃ n ts    e w u ʁ n̊    	s ɑ˞ m f i̱ ʥ    ɡ ɑː aˑ    r cçʰ ɔˑ u m ʃʰ    	t͈ ŋ i    	ŋ v ə    s ɟ u u    v ŋ oː    	i tː ɛ    ɱ i ĭ    æ w ʃʰ    nʲ o̞ ⁿs    	ə̃ː χʷ m    	t͈ ẽ rʷ ɛ    q aˤ ʁ eˀ    
111404	-4,19819819819803	19,5495495495505	í s fʲ    s u w    ŋ iː f    qχ ɛ̃ ɭ    	ɛː tˀ ɛ̃ çː    tɬ o u pʲ    o ɑˑ cç ħː    o s ɛ w    ãː tsʰ e r    ʊ̃ s ũ n    		ă fʲ ɛː k θ    dʒ iə œ β ɗ    rʲ f ə ɔ̰ m    ɤ ɡ ɔː n j    	s θ ɨ ə̥ f çː    ĩ dː dʒ ɖʱ eˑ r    ɔˑ s cçʲ cç u dzʱ    	cː zʲ ɛː çː    ʈʂʰ j ɑu r    cː ɔ̆ t̪ ʝ    	ə̥ s çː ə̥    d̥ s ɔ̃ː æ    	fʲ æ çː    fʲ aː r    	í çː θ    r ɐ nʲ    rʷ e̞ sˤ    u r jː    	f ɘ ʃ cː    
117050	-17,2612612612611	19,0990990991	ṽ oːu b    		ʔ ɑː tsʰ    	n b aˑ aˑ ʁʷ    	ṽ e ɖʐ uɔ ɖʰ r    	kʰʲ kʰʲ ɜ b    t̪ cʰ aˑ r    aˑ ʃ ʃ p    	ɹ ɒ kʰ u    	b e r    	r ɯː l̥    e ɟ vː    	ɔˑ cç ɖʰ cç    
136745	-17,2612612612611	26,3063063063072	s ĩ w    u s w    	s a ou r    ɵ s ɑˑ ħː    ṽ ɐi aː r    	f ĩ tʲ    	w ou ʐ e˞ ʁ    	ʐ s e a β θ    l̥ ð ɨ ɑ̃ pʷ ɹ    	t̪ ⁿs iː kˀ    œ cː s ʀ    mʲ ʔ ɯ̆ ʈ    ʔ ˀŋ ə z    	w s ɛi ɛi    r s iː iː    χ a r a    	w iː r    	iɛ r nʲ    	k f ɔˑ k    
