Lang	Latitude	Longitude	ALL	ASH	BARK	BELLY	BIG	BIRD	BITE	BLACK	BLOOD	BONE	BREAST	BURN	CLAW	CLOUD	COLD	COME	DIE	DOG	DRINK	DRY	EAR	EARTH (SOIL)	EAT	EGG	EYE	FAT (ORGANIC SUBSTANCE)	FEATHER	FIRE	FISH	FLESH OR MEAT	FLY (MOVE THROUGH AIR)	FOOT	FULL	GIVE	GOOD	GREEN	HAIR	HAND	HEAD	HEAR	HEART	HORN (ANATOMY)	HOT OR WARM	I	KILL	KNEE	KNOW (SOMETHING)	LEAF	LIE (REST)	LIVER	LONG	LOUSE	MAN	MANY	MOON	MOUNTAIN	MOUTH	NAME	NECK	NEW	NIGHT	NOSE	NOT	ONE	PERSON	RAINING OR RAIN	RED	ROAD	ROOT	ROUND	SAND	SAY	SEE	SEED	SIT	SKIN	SLEEP	SMALL	SMOKE (EXHAUST)	STAND	STAR	STONE	SUN	SWIM	TAIL	THAT	THIS	THOU	TONGUE	TOOTH	TREE	TWO	WALK	WATER	WE	WHAT	WHITE	WHO	WOMAN	YELLOW
1721	-6,45045045045028	134,414414414415							bʰ ɒ r ɾˠ ɒ    	ɕʲ ĩː ⁿt ˀb ɒ kʰ    		ⁿt ɒ ʑ ɒ    	ⁿt ⁿt y y    	χ ɒ r bʰ ĩː ɓ    			ɾˠ y w̃ ɒ y    	ɾˠ ɒ n̪ ɒ    		ɾˠ ɒ ʑ ɒ    	ʑ g ĩː ɒ ñ    				ʑ g ĩː ɒ ñ    		ⁿts y y ʑ ɓ    				ɾˠ ĩː ɳ ə    		ⁿt ĩː pʰ aˤ s ⁿt ə ɕʲ ə ɓ    			r ĩː ɓ ɒ    	ə ɕʲ s ɾˠ ĩː fʲ    		ɗ ĩː g aˤ ñ    			bʰ ⁿts ɒ ⁿt ĩː ɓ    						ⁿt ĩː ɕʲ ɾˠ ə    	ⁿt y ʑ ɒ ɓ    							r ɒ s ⁿt ɒ ə    			bʰ ɒ g ɒ    	ⁿt ɓ ə y    	ⁿts ɒ ʑ ə    	bʰ y pʰ ɒ g ɒ ɓ    	ĩː χ bʰ aˤ fʲ    	ⁿt ĩː bʰ y ɓ    		r ĩː kʰ aˤ vʲ    		ɗ ɒ ɒ χ ðʲ    	ⁿts ĩː s ɒ ʰp aˤ s ɒ    				ĩː bʰ ɾˠ ɒ ðʲ    	r ɒ s ɒ ʰp ɒ ɓ    			ⁿt ĩː ʑ ɗ ɒ r    		χ ɒ ɳ ⁿts ɾˠ ə    	ɾʲ ⁿt ə ĩː kʰ    	ɾˠ ⁿt ə ə    	bʰ ɒ ʑ ɒ    		ɒ bʰ ɕʲ ɾˠ ɒ    	χ ĩː m̥ ɒ ʂ    	ⁿts ɒ pʰ ɒ bʰ y    		ɾˠ ɒ s ⁿt ɒ r    	ɒ r s ɒ    		ɾʲ ɒ ⁿt y ɓ    		ⁿt ɒ ʑ ɒ    	bʰ ⁿts ɒ ⁿt ĩː ɓ    					ⁿt y g ɒ bʰ y    			
4288	-4,64864864864848	138,018018018019		ɾ e̞ ɾ fʲ ɔɪ n̥    	ɔ k ç ɯː    		rʲ a    	h ɯ sʲ k ɯ    		tɕ æ̃ t eː    	ɾ a l ɾ ɔɪ bʱ    	ɬ ɨ̃ qʼ    	s ə eː tʲ    			b ⁵ eː eː fʲ ⁵    	i ˀl ˀl i    		eː lˠ t ɬ eː    s ə tʲ    	tʲ ai tɕ    	h i̟ ¹⁵ ŋ    	s ɜː fʲ eː tʲ    			ɬ ə t eː    	ˀl fʲ eː ai kˀ tɕ ɜː rː ai ɣ    	s ə tʲ    	ɜː qʼ ˀŋ    	tɕ au ⁿd    ɨ̃ lˠ s ɜː ɣ    	t au jː    	au lˠ ɬ    	l̪ a l a a a bʲ m cç ɾ a bʲ a    		ˀl au fʲ    	t ə ɬ    	au lˠ ɬ tʲ eː t eː    	b o ¹ fʲ j o ¹ l    	eː dː fʲ t ɜː fʲ rʲ qʼ ɨ̃ s t eː    	ɨ̃ lˠ s ɜː ɣ    		ɣ ɨ̃    					tʲ ỹ    	e ʁʷ ɬ t eː    	rː eː rʲ rː    	ə ʮ t t eː    		ɬ ɜː t eː    	tʲ ɹ ɜː eː fʲ    	lˠ au qʼ    		lˠ eː t rʲ ɹ ə a    		t ʏ ˀl eː tʰ    			rʲ ə tʲ    	eː s ai r̥ ɬ    	ɬ iˀ ¹ dʒʱ    	ai jː    		t a    		lˠ eː t rʲ ɹ ə a    	ɡ ⁵ ɒ kʲ i ⁵    æ̃ ˀŋ kˀ ˀl    	qʼ au t fʲ eː    		cçʰ ɯ fʲ    	ˀŋ e kˀ t ỹ    	i lˠ rː    		qʼ eː rʲ t t eː    		ɨ̃ tʲ s eː t eː    		ʝ i̟ ⁵ kʲ    	a kˀ    ˀl fʲ eː ai kˀ tɕ ɜː rː ai ɣ    	tɕ au eː s ⁿt    		lˠ a s    	e ˀl qʼ    		eː ʝ j ¹ o ¹ ŋ̩    	tɕ au rː i    	p͈ tɕ æ̃ jː    	ˀl eː jː    	rʲ eː ⁿt    	dː eː ˀl ai tʲ    	tɕ e kˀ ˀl    		h i ⁵ ŋ ʝ i̟ ⁵    	rː au rː t eː    	æ̃ ˀŋ kˀ ˀl    		au tʲ ˀŋ    	rʲ ɜː dʲ i    	lˠ ɜː ˀŋ    		qʼ au ˀl d eː tʲ    
8241	-6,90090090090073	142,072072072073	dʰ s ẽ tʃ kʷ yː    	ʈʂ u ʈʂ r ui w    	o r yː k ʈʂ ɪ    	o n n    	n iˑ    	ʈʂ o χ ŋː yː ŋ w o j    ŋ e̞ ɮʲ e̞ ʥ æ    	ⁿs o ʈʂ r ɪ    	d̥ ɑ̃ t ɑu    	w iˑ r    	iˑ n yː ⁿt    o ŋː w    	əu ʈʰ yː ⁿt    	n u ¹ n iˀ ¹    		ɑu ⁿs ŋː ẽ j    	ẽ k ɹ ẽ    	j kʰ ʌː ʌː ʈʂ ʈʂ ɪ    	χ yː ŋː ʈʂ ɪ    	ẽ ŋː ⁿs    	ẽ ʈʂ ɹ ɪ    	k iː ⁵ ɕ    	ɑu d̥ gʷ    	l̪ e̞ b e̞ ŋ e̞ ʑ    	ŋː ʈʂ əu ɪ    	w o j ⁿs o yː ⁿt d̪    	i̟ s tʲ    		iˑ ⁿs w    	ʈʂ u ʈʂ    	χ iˑ ŋː    	l̪ e̞ w e̞ ʃ e̞ t e̞ n ʈ e̞ bʱ æ    	ⁿs iˑ ŋː r yː ʈʂ ɪ    	iˑ k r    ɑ k ʔ    	ʈʂ əu ⁿt    	ŋː yː ʈʂ ɪ    	ɻ ə ʔ    	yː pʰ r ʈʂ o r n w o k ʈʂ ɪ    	o χ o k d̪    		o d̪    	χ iˑ ŋː ŋː ʈʂ ɑu ɪ    z y n j y    	āː s m    ã s bʱ    	o n yː ʈʂ    		ŋː ẽ    	wʲ ø ɬ ⁿg ɪ    	ⁿt yː n ⁿt    	iˑ j ʈʂ ʈʂ ɪ    	ʥ ɔ j yː ʈʂ    	o ŋː ʈʂ ɪ    	tʲ e̠ tɕʰ yː χ    	χ iˑ w    	əu ʈʂ w ʈʂ yː ⁿt    			ʈʂ ɔ r yː tɬ    ŋ e̞ ɮʲ e̞ ʥ æ    	r əu ⁿs    	ɒ ẽ tɬʼ z    	n əu ⁿt    		ẽ j m ui ⁿs    	ẽ ʈʂ    	e̠ dʰ b    	ʐ ʉ    		χ yː n ʈʂ əu tɬ iˑ    	j ẽ ŋ k    	w r iˑ ʈʂ ɪ    	j iˑ ⁿt    	ŋː əu r    		χ ẽ ⁿt    	j yː s ʈʂ ʈʂ ẽ ãː    ɻ ə ʉ s ⁿg ⁿg ɪ    	ɑu w n ʈʂ ʈʂ ɪ    	əu k ⁿt    	ṽ ɔ r ɔ ¹ ⁵    	o r yː k ʈʂ ɪ    yː r k ¹ yː ¹    		oː ˀŋ    	iˑ ⁿs k yː j    	ŋː j o ʈʂ ɪ    	χ u ⁿs    	ṽ ø w    	n yː j    ɑu ñ j    j kʰ ʌː ʌː ʈʂ ʈʂ ɪ    	χ w o ẽ ʈʂ ɪ    	m ɔ tɕʰ    	ʈʂ iˑ r ẽ    	t ɔ ʁʷ ẽ    	n yː j    	pʰ ɑu ẽ ŋː ŋː    	e ⁿs ŋ k    	ˀŋ əu fː    	j ẽ ŋ k    	ⁿt iˑ ⁿt ʈʂ ɪ    ˀŋ e̠ tɕʰ yː t t æ    		ŋː iˑ j    	ŋː iˑ j    	cçʲ ɒ    	χ o j    	ẽ r ẽ    	w iˑ ɹ ʥ yː ⁿt    
7942	-2,39639639639623	136,216216216217	ʎ ɔˑ ɖʐ vː ɔˑ m ɔˑ    		tsʼ uː b ɐi kʷ    	ʎ æː lː ɔˑ m    	ʌ lˠ m i̟ n    	aː ʎ qʰ    			ʎ æː ˀŋ    	dʷ m aː ɔˑ n    	y pː tʃ ɔˑ k    	w ũ i̠ ɣ m æː bβ    	ŋ̥ ɨi ʔʲ    		dʷ æː ħ aː bβ    	lʱ æː m ɖ ä bβ    	ɔˑ ɖ æː m dʒ    	u ɣ    		ʎ ɖʐ i̟ i̟ bβ    	ʎ aː ɖ æː bβ    		m ɛ ä bβ    	ɣ aː ɧ i̟ m    	ɨi k z    	æː m d̪ː    	ɔˑ w ɖʐ    	ɔˑ ɣ    	lˠ ɔˑ ɖ ɔˑ bβ    		ɣ i    	ɒ dʰ uː kʷ    	ɔˑ ɣ ɖ ɔˑ    		dʷ æː w    		dʷ ɒ tʃ    ɔˑ w ɖʐ    	ɔˑ ʎ ɖ    		lˠ ɖ ɔˑ m æː bβ    	ɔˑ ʎ ɖ lˠ    	i̟ ħ m ɔˑ w    		m æː m    		ɣ ɔˑ w    		lˠ ɖʐ ɔˑ ħ    	ˀp æː ɣ m ɒ bβ    	ɔˑ lˠ ɔˑ vː ɖʐ    		u lˠ ɣ    	y kʰ k eː k    			ɖʐ ɔˑ ɖʐ h ɔˑ ɣ    	vː ɒ ɔˑ w    	ɒ ɣ    	lˠ ɔˑ m ɔˑ m    	ˀp ɔˑ z̩ ɔi    	ʎ æː ˀŋ    lʱ ɔˑ m    	i̟ lˠ ɖʐ aː m    	m ũ ɔˑ ʔʲ    	lʱ ɔˑ m    	ɒ ɔˑ ɖʐ m    		i̠ ʎ w ɔˑ ɖ    	lʱ tʃ ɔˑ ɔˑ    	ɣ æː m ɔˑ ɖʐ    	i̟ ˀp ɔˑ m ɖ æː bβ    	i̟ ʎ m    		ɔˑ lʱ ɖʐ m æː bβ    	i̠ ũ lʱ vː    	ɔˑ k ɔˑ ɖʐ m æː bβ    		i̟ h ɖ ɔˑ m æː bβ    	lʱ u u tʃ d̪ː    	ɣ aː k i̟ m    	ɣ ɖʐ i̟ ɒ m ʎ    	ˀp aː ɖʐ ɖ i̟ w    	ɣ æː w    	i̟ m ʎ æː qʰ    		ɑi ŋ̥ kʰ ʈʂ ə̃˞ ŋ̥    	vː ɖʐ ɔˑ u ħ ɔi    		dʷ æː m    	ɣ ɔˑ ɖ    	ɣ ɔˑ qʰ    	u ɣ    	ʌ lˠ m i̟ n    				lʱ ɔˑ m    	ɒ kˀ    			dʷ i̠ ɔˑ ɖʐ ʎ    
1650	-4,19819819819803	136,216216216217	a ɓ ʄ w fʰ eː a    	iɪ kʲ ⁿs    	æː r ŋ̩ u̘    	kʷ ai r ɑu ɹ    		ɓ i ʃ    kʷ ia b    	rʲ ʌː ʄ ʌː rʲ    	ŋ̩ ɓ æ a    		tʲ i j ʌː rʲ    	õ s ʏ m    		r eː ŋ̩ eu w ɓ    			rʲ æː ɸ fʰ eu ŋ    		eː m mː    	u̘ tʃ fʰ eu ŋ    		i ɓ ɸ eu ŋ    			ɓ ɸ ʌː b    	ʄ ɑ˞ z̩    		q ɪ r    	ɛi ʈː    ʑ ŋ̩ ʌː a ɣː r    	nː ɛu ɬ    		tʲ eu z    	æ j eu ŋ    	aˑ r ɸ ɑ    			j ʌː tɕ eː ɳ    	eː r z    	ɓ ĩː ɳ    	b eu ʃ    	ʌː tɕ r eː fʰ eu ŋ    	ɓ ɸ ʌː b    	fʰ i ŋ̩ eː z    		æː fʰ w    	aˑ ɸ ʑ eː ʄ fʰ eu ŋ    		ɔ̆ j t̪ t̪ eː    	b ĩ m ɾ    	j eu r fʰ ŏ ŋ    	n̪ː b a u̘ ʄ    		b ɑu mː    	ỹ r    		j ỹ    b ʄ æː fʰ eu ŋ    	r æ r    		ai mː    	i̠ b j ɑu ɹ    	j ʌː q u̘    	r i w    	b ʄ ʌ u w    	tʲ ə̃ j ʌː rʲ    		nː dʱ aː ã sː    	i tʲ kʲ    	ɓ eː ɛ̃ l̪ˠ ɸ    	aˑ tʃ rʲ ɑ    u̘ ʈː    		j i fʰ ʌː ɸ eu ŋ    	ɓ i fʰ    	a j r fʰ eu ŋ    	rʲ ĩː fʰ ʄ eu ŋ    	ʌː ɑu kʲ ɹ    	æ u̘ n̪ː z    	ʈː ɛ r̃ u̘    	u ɣː ɸ ʌː fʰ eu ŋ    					r eu ʃ    	i ɓ j eu ʃ    		eː r ʃ    	w ʌː ŋ̩ eː ŋ̩ u̘    	tɕ aˑ a    		r eː ɸ    		ʑ ŋ̩ ʌː a ɣː r    	ɳ u̘ u̘    				eː w fʰ ɑ    	ɓ ỹ    	rʲ eː fʰ    	xː ui    	tʲ ʌː ŋ̩ eː ŋ    
6413	-7,80180180180163	144,324324324325	t tɬʰ ă æ    	c ă tʼ b i bʰ ã    	ʝ ɨ̃ ⁵ ʝ ɨ̃ ⁵ b eː ɸ ⁵    	ɟ ⁵¹ r ãː ia ¹⁵    	t ɛ dz ă b tʼ b ã    	c tʼ ă ɛ ɮʲ i    	t o ʒ ⁵¹ ui ⁵¹    		mˠ ɯi ⁵¹ ˀw i ⁵¹    ɛ n ɮʲ æ    			t ɛ n n ɛ χ ă bʰ ŋ ã ʒ ɛ j ɛ pʰ æ    		c ă tʼ ɛ j ɛ bʰ i j ɛ pʰ i    	t ɛ x ã    	ʒ ɛ χ æ    	ɓ uː ⁵¹    	χ ɮʲ ɛ ã dʲ ã    			ɮ œː ɬ    	t ă n n ɛ ʑ    	ŋ ă ɳ t ɛ n ç ɛ bʰ æ    	χ bʰ ɛ i t    	ã χ ɳ n æ    	ʒ ă tɬʰ c i i    		χ ă t ɛ j ɛ ŋ ʒ æ    	χ ă tɬʰ ã t ã tʼ    	l̪ ɛ w ɛ bʰ ɛ d ɛ n t̪ ɛ pʰ æ    	χ ɛ b ɛ tʼ ɛ b ɛ t ɛ n ç ɛ bʰ æ    	ei ʒ ⁿt    	ɣ ɔː    	ɖ a    	χ ă χ ŋ ã ɛ bʰ æ    		χ n ă ɳ ɛ tʼ b i ɳ n ɛ tʼ    	ʒ iˀ ¹ pʰ ɟ ia ¹    ʝ i̟ ¹ ɸ b ei ¹    	tʼ χ ã ɛ j æ    tʼ w ã ɛ j æ    			qʼ i ¹ ɾˠ i ⁵¹    		ɛ ŋ ɳ æ    	ʒ ă x ɛ n t ɛ n ç ɛ bʰ æ    χ eː ⁵ qˀ    	ʒ iˀ ¹ ŋ ɡ ou ¹    	m ɨ̃ ⁵¹    	ʒ ɔ χ ¹ ɖ i ⁵¹    	ˀh e˞ fʲ m ɒ ŋ̥    	ŋ̥ ʄ a dʲ    	z yː yː ʁʷ    	ɕ aː ⁵ ɖ ũː ⁵    	ʒ ɨ̃ ɨ̃    		h i̟ ¹ kʲ eː ʑ ⁵    		pʰ ⁵¹ i j ∼ ou ¹    	ŋ ɛ χ ă b n i    	ɡ i ¹ n ou ɾˠ ¹    	ɗ ă j ɛ n ã    		i̘ kʲ ɛ ¹ kʲ ¹    		ʎ ə    	o n ʒ œː ɺ    	ɒ ɡ ⁵¹ kʲ i̘ ⁵¹    	ɛ n ɮʲ æ    	tʃ k ɨ a    	t ɛ pʰ ă tʼ ɛ ɭ æ    	yː qʼ a m ʄ e˞ ŋ̥    	n ɘ ⁵ tsˀ n ɟ ø ⁵ a ⁵    		χ ɛ ɳ ɛ b ɛ ɳ ɛ n ɛ n ç ɛ bʰ æ    	ɖ ɨ̃ qʼ    	ɔ ¹ k r ɔ ⁵    	ʒ o ⁵¹ ʒ o ⁵¹ pʰ ɟ āː ⁵¹    	mˠ a ⁵¹ n    	χ ɛ c ɛ ʝ æ    	n ă ɳ ŋ ɛ ʑ    	tʼ ă x i bʰ i c n ɛ pʰ æ    	t ɛ bʰ ɛ ɖ ɛ χ æ    	b ă tʼ ã bʰ ã tʼ ã pʰ ã    		ŋ ɛ b ă n c ɛ bʰ æ    	n ɛ t ɛ c ă t ɛ c i    	n ɛ t ɛ n ɛ c i    	t ɛ ɳ ɛ c i    	j ă bʰ ã    	ŋ ɛ tsʰ ç ɛ tʼ    	i fʲ sˀ    		q ɛ i tɬʰ ɛ bʰ æ    	χ ă ŋ ʒ ɛ j ɛ bʰ æ    	ɒ ɡ ⁵¹ kʲ i̘ ⁵¹    q ɛ i tɬʰ ɛ bʰ æ    				ɛ ŋ dz i    ɛ ŋ ɖ i    	χ ¹ o ç    	
8197	-1,49549549549533	138,018018018019	bˤ eː kʰ ʕ øː ʔʲ ɪ̃    	k ɑi ˀw    		ŋ̥ ui kʰ øː g    	ə̃˞ ŋː ɮ ɑi k    	ŋ̥ ɪ̃ ŋː    	v ɔ ⁵ ɖʐ ɔ ⁵    	ŋ̥ ui kʰ ɪ̃    	ŋ əː ⁵ nʷ eː ⁵    	l ɑi eː ɮ k    	ɪ̃ pː tʃ a k    		ŋ̥ ɨi ˀw    	ŋː ə̃˞ ʔʲ ɑi c    	l ui pʰ ə̃˞ ˀɣ    	k ɨi pː ʔʲ ui ˀɣ    	e̞ pː ʔʲ ui ˀɣ    	a c    	a tʃ pː ui ˀɣ    	ŋ̥ ɑi kʰ ɑi ˀɣ    	ɑi ŋ̥ ʔʲ ui ˀɣ    	ɺ eː ŋː æ̃ ŋ a mˠ    	ɑ̃ː ui ʔʲ ŋ̥    	cçʲ ə̃˞ t ɑi l̥    	ɨi k ʔʲ    		a p kʰ    	e̞ c    	ŋː eː ʔʲ øː ˀɣ    		ɑi tʃ pː ui ˀɣ    	ui ɮ ui ˀɣ    	ɨi ʔʲ cçʲ ɪ̃    	ŋː ɨi kʰ pː ui ˀɣ    			l ui tʃ    ŋː eː kʰ g    	ŋ̥ ɨi ˀw    	ŋː ui ʃ    	ɪ̃ ʃ cçʲ øː ʔʲ ui ˀɣ    		pː ə̃˞ ɾ̥ʲ øː pː    		pː ɨi g    	e̞ ʔʲ k øː kʰ pː ui ˀɣ    	øː cçʲ ʔʲ    	ŋː øː ʔʲ pː ui ˀɣ    	ŋː eː kʰ g    	ʈʂ ui cçʲ pː ui ˀɣ    		ɑi ɑi ɾ̥ʲ g    	øː ŋː cçʲ    			ui ʈʂ    	ui cçʲ ɣ    	ŋ ui øː pː    	c ui    	ŋː ɨi ɮ øː g    	ʈʂ dˤ a a    	cçʲ a ʕ    	i̟ l ɖʐ aː ɬ    	pː a ɪ̃ ŋ    	øː ŋː mˠ    	ɒ a ɖʐ m    		ŋ̥ øː g a ʔʲ    	tʃ e̞ k a    	cçʲ ui ʔʲ øː mˠ    	tɬʼ ɪ̃ ʔʲ eː ʔʲ au ˀɣ    	ŋ̥ ə̃˞ l̥    i̟ ʎ m    		k kʰ ɨi pː ui ˀɣ    	ɪ̃ ɥ øː g    		ŋ̥ ui ŋː øː ˀɣ    e̞ c    	ʔʲ ɑi ñ eː ʔʲ ui ˀɣ    		cçʲ ə̃˞ cçʲ ɑi g    	kʰ cçʲ ə̃˞ ʔʲ ui ˀɣ    	ʈʂ ə̃˞ k ʔʲ ɑi pː    	cçʲ ui ʃ    	ŋ̥ ɮ ɑi ui ʃ    	l ə̃˞ ʔʲ pː ui ˀɣ    	ɑi kʰ ŋ̥ ʈʂ ə̃˞ ˀɣ    		ʃ e̞ ɪ̃    	l ɑ̃ː g    	cçʲ æ̃ ˀw    	cçʲ øː ʃ    				l ə̃˞ x    	øː ŋː ʔʲ    	øː ʕ ʔʲ ɪ̃    	ui ˀɣ    	øː k l̥    		
8196	-2,84684684684668	133,063063063064	h ɑ̆ s wʲ aː ⁿt aː    	ɨ k kʰ    	ã k kʰ    	ħ ɑ̠ aː s wʲ    	ȶ ɨ kʼ ɨ k    	ɨ ħ ʥ    	mˀ aː ʃ kʰ ɑ̆ ⁿt ɑ̠ bː    	ħ dʲː ɑ̠ aː    	ħ ɑ̠ rʲ    	ã l oˀ j tɬ    	ȶ æ̃ tʃ ɑ̆ k    		ɳ u r pʼ ãː tː    	ȶ ɨ ʑ ɨ mˀ    	ã ⁿg z̩ ɨ bː    	í k ȶ kʰ ɑ̠ bː    	kʰ ɵ ã ȶ ħ    	mˀ aː    		ħ ɨ dʲː ɨ bː    	ħ ɨ ʑ ɑ̠ bː    		ⁿt ɑ̠ í bː    	ɳ ia u ɕʰ ȶ    	k ɵ d    	ɑ̠ ȶ rʲ    	hʷ ɑ̆ s    	mˀ y    	ȶ aː ɑ̆ kʰ ħ    		ɨ ȶ ɑ̠ tʃ ħ    	ã kʼ ɑ̠ bː    	mˀ ɵ ʑ aː    	í s ȶ ȶ ɑ̠ dʒʰ    	ⁿg ɑ̠ d    	wʲ ɑ̆ dʲː aː kʰ    	ã ⁿg tʃ    	ʑ oˑ sʰ    	ⁿg ɨ ɑ̆ kʼ k    θ oˀ ʃ    	dʲː æ̃ aː ȶ mˀ ɑ̠ bː    	ɑ̆ kʰ ħ ȶ    	ȶ ɨ kʷ aː d    	mˀ y    	ⁿt ɑ̠ í bː    	ɵ kʰ d aː s ȶ ɑ̠ bː    	aː mˀ d    	ȶ aː kʰ ȶ ɑ̠ bː    	ɑ̆ ȶ s kʷ    	wʲ ã ɑ̠ mˀ ȶ ħ    	dʒʰ s ɨ ɨ dʒʰ    	ɨ ɨ xː rʲ    	ȶ aː mˀ    	d ɑ̆ ã ȶ    		ɨ ħ kʼ ɑ̠ gː    	mˀ ɑ̠ b    	ˀb aː ã d    	mˀ ã    	ȶ kʼ ɵ aː rʲ    	wʲ ɤ̱ ɑ̆ ɨ    	mˀ ɨ rʲ    	ȶ s ɨ ɨ rʲ    	ⁿt æ̃ ɑ̆ ⁿg    	aː ȶ s    	d ɑ̆ ã ȶ    		ħ aː ɖ aː kʰ    	k tʃ ɵ ɑ̆    	ɨ mˀ mʲ    ȶ s ɨ ɨ rʲ    	ɨ ⁿg ȶ ɑ̆ ʑ ɑ̠ bː    			ɵ k s ȶ ɑ̠ bː    	ʌː u ʁ ȶ    	ⁿg ɔi rʲ    ɵ aː mˀ dʲː ɑ̠ ȶ ħ    	mˀ ɔi dʲː ɒː    		k aː tʃ aː k    		mˀ ɨ ɑ̠ s ȶ bː    	wʲ ɨ kʰ d ɨ d    	mˀ ã gː    		ⁿg ɨ ɹ ɑ̠ ȶ ɻ    	ħ ɨ wʲ s ɨ bː    	wʲ ɑ̆ dʲː aː kʷ ɒː    	ɵ dʲː aː    	ⁿg ɔi rʲ    	aː mˀ kʰ    	mˀ aː ʃ    	mˀ y    	aː ɤ̱ ɒː    	ɨ s ȶ wʲ ɑ̠ bː    		aː ȶ d    	ⁿt wʲ aː aː    	ã bː    	k aː ȶ    	ɒ ɒ j sʰ    	ⁿg ɑ̆ aː s ħ    
148	-5,09909909909893	147,027027027028			lˠ oˀ ⁵ lˠ oˀ ⁵ jː ɛ̱ b ⁵    		¹ ă b ɑ̆ ʰk ¹    										∼ q õ ¹⁵    			bʷ ⁵ ɪ g ɳ ĩː ¹    	¹⁵ bʷ ə˞ lˠ    	lˠ ⁵ ɛ bv    	bʷ ɪ ¹ l̪ˠ ∼ əu ¹⁵    õ jː ¹⁵    			ɡ ɛ̱ ¹ lˠ ɡ ɛ̱ ¹ ʰk ĩː ⁵    	ɔː jː ¹    	jː õ ⁵ g ĩː ⁵    							z ɔː    	ɔː g    			bʷ ɪ ⁵ jː b ĩː ⁵ ĩː ʰk ⁵    	lˠ ə˞ b ¹ jː iɔ ¹    		jː õ ⁵    		bʷ ¹ ĩː tʰ ĩː ⁵    		ɴ ¹ ă ɳ ĩː ¹    	nʲ ⁵ ɛ̱ l̪ˠ    			lˠ ɛ ¹ nʲ ɳ ĩː ⁵    				ɡ õ ⁵ ĩː g ⁵    					jː ĩː ⁵ əu l̪ˠ ∼ ¹    	õ jː ¹⁵    	ɡ ĩː ¹ g ɴ əu ¹    			õː g ¹ g əu ¹    					lˠ ĩː iɔ ⁵ ʰk ⁵¹ l̪ˠ    		lˠ ¹⁵ õ l̪ˠ    				ɴ õː ⁵    					lˠ ɪ ⁵ z ĩː ⁵ l̪ˠ oˀ ¹ nʲ    							bʷ ⁵ ɪ dʒʱ əu ¹    						g ɛ̱ ¹ ɪ g ¹    	bʷ ĩː ⁵ lˠ lˠ ɪ ⁵    							nʲ ¹ oˀ l̪ˠ    	l iɪ tʰ ɪ ¹    
7940	-4,64864864864848	142,072072072073						lʲ ʌ ⁵ nʷ ɐ ¹    	t ⁵ ø kʼ ø ⁵    		lʲ əː ⁵ nʷ ʌ ⁵    	pː ʌ ¹ ʌ nʷ ⁵    	f ɛ f ¹ ɛ ¹    		u ɓ r    	pː ⁵ əː əː nʷ ⁵    	i k s i    		uː ɓ ⁵    	m a p    		ɓ aʊ ⁵ w    			ɛ˞ gʱ dʑ ⁵ õː ¹    		ɔː ʑ ¹    	⁵ pː î nʷ əi ¹⁵    m ã ⁵ ɣ ʌ ⁵    	ɑ p n    		d eː ¹ ʌ t̪ ¹    		f ⁵ ʌ nʷ ʌ ⁵ nʷ ʌ ⁵    		ɔː t    				h iˀ ⁵ m pː ʌ ⁵ nʷ ʌ ⁵    	ɓ a ¹ n̪ ɓ e ¹    	ɐ ¹ ɓ lʲ    ɓ ɐ ¹ lʲ    	əi m ⁵    				χ rː e̱ u t    	tsʲ u ⁵ j    			zʲ æ̃ ɑi ʐ t    		ɳ e̱ s ʊɪ tɕ    	tsʲ ɑ wʲ    	əi tsʲ ⁵ ɓ ʌ ⁵    	dz æ t ɣ o ɬː u    				n̪ i ⁵ dz ∼ ɛ ¹    	əi m ⁵    	tsʲ ʌ ¹ ɓ d ɛ ¹    				a t    		ɐ n ɓ ɑi t    		lʲ ⁵ ʌ ɑi nʷ ⁵¹ j    	ɬ ɑ n̪ː    ʉ lˠ n̪ː    	¹⁵ lʲ əi j    		d iˀ ⁵ d m əi ⁵ əː t̪ ⁵    		æ̃ d ⁵    	t̪ ɨ̃ m    	zʲ ø qχ ¹ ø ⁵    			ɓ e ⁵ t ʌ ⁵ j ɐ ¹ tsʲ    							h iˀ f ⁵ ɛ ¹    			ɓ eˀ    	d ɛ ¹ ʋ ɛ ¹    		j ʊɪ dz    	h ʌ ⁵ lʲ lʲ iˀ ⁵    		iˀ lʲ ⁵ ɓ    					ʀˀ ɐ ¹ ʑ    	eˑ ʔ nʲ a ¹    
